,FIPS,Population_2020,Obesity_2020,ExcessiveDrinking,Unemployment,PhysicalInactivity,College,PhysicalDistress,MentalDistress,FI,HouseBurden,PCP,MHP,TrafficVolume,StateAbbr,Population_2022,TotalPop18plus,Obesity,Diabetes,Depression,BingeDrink,Conservative Protestant,Black Protestant,Orthodox Christian,Mainline Protestant,Other,Other Christian,Catholic,Judaism,Latter-day Saints,Hinduism,Jehovah’s Witnesses,Buddhism,Islam,Series_Complete_Yes,county_fips,DEMOCRAT_2024,REPUBLICAN_2024,Suicide,FFR20,FSR20
1578,37137,0,0.0,0.0,0.0,0.0,1553,0.0,0.0,1840,554,6.0,10.0,31,NC,12381,10671,3905.5860000000002,1163.1390000000001,2539.6980000000003,1952.7930000000001,1693.0,608.0,0.0,1745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7661,37137.0,2676,5229,2,9,8
1579,37139,39775,15591.800000000001,6200.4510540845,1895.26872582495,11017.675000000001,6139,5111.570946033,5227.28386094675,7310,2511,27.0,78.0,66,NC,40938,32327,11637.72,3685.278,7370.556,5754.206,8998.0,2650.0,0.0,2602.0,0.0,0.0,0.0,0.0,490.0,0.0,616.0,0.0,0.0,23158,37139.0,9549,10537,7,38,36
1580,37141,61891,18938.646,10595.308046869972,2535.63693611098,15905.987,8400,7542.31914565405,7794.65105561816,7620,3034,17.0,53.0,30,NC,65737,51154,16011.202,5166.554,12021.19,9565.797999999999,9702.0,1391.0,0.0,3651.0,0.0,0.0,0.0,0.0,1470.0,177.0,260.0,0.0,0.0,35198,37141.0,12460,26042,8,38,40
1581,37143,0,0.0,0.0,0.0,0.0,1613,0.0,0.0,2250,971,1.0,6.0,20,NC,13210,10767,3639.2459999999996,1141.302,2573.313,1948.8270000000002,2251.0,1052.0,0.0,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,6991,37143.0,2269,5278,3,5,6
1582,37145,39561,11551.812,5857.4294812732505,1620.482339413419,12619.958999999999,5546,5154.43708868511,5293.74787334748,6350,2042,15.0,35.0,69,NC,39386,31351,12697.155,3730.7690000000002,7900.451999999999,5705.882,10479.0,1524.0,0.0,3615.0,0.0,0.0,0.0,0.0,446.0,0.0,206.0,0.0,0.0,23941,37145.0,8295,13509,9,26,18
1583,37147,179961,64605.998999999996,31128.952997469125,7623.652149175338,49669.236000000004,32908,24167.34042094056,24476.60061904311,35400,14290,190.0,642.0,111,NC,173542,136973,51090.929,15888.868,30544.979,23011.464,25202.0,3494.0,61.0,15291.0,0.0,77.0,0.0,289.0,1470.0,250.0,1796.0,20.0,914.0,107323,37147.0,45595,40403,26,163,134
1584,37149,20682,6887.106,3073.34019412872,774.7967443439339,5604.822000000001,2320,2324.90798454456,2494.2665166249603,2290,916,11.0,38.0,36,NC,19986,16898,5441.156000000001,1402.5340000000003,3937.2340000000004,3295.11,4869.0,772.0,0.0,1671.0,0.0,36.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,9719,37149.0,4827,8107,4,14,22
1585,37151,143460,46194.12,22431.5896060998,5356.622072572561,39021.12,18382,18846.3571440606,18997.6579288416,17720,5200,66.0,144.0,92,NC,146043,113982,37044.15,12424.038,29749.302000000003,20630.742000000002,38141.0,371.0,0.0,14298.0,0.0,0.0,0.0,0.0,446.0,0.0,1604.0,0.0,280.0,67416,37151.0,15951,59357,25,91,87
1586,37153,44759,17321.733,6284.06957342593,2444.0110176321837,14188.603000000001,5336,6842.063874693191,6674.29813628721,9010,2768,13.0,72.0,109,NC,42778,32808,13057.583999999999,4199.424,7841.112,5478.936,18001.0,1173.0,0.0,5587.0,0.0,0.0,0.0,0.0,357.0,0.0,236.0,0.0,0.0,22529,37153.0,7787,11931,7,28,22
1587,37155,131656,51345.840000000004,17096.27861219432,7729.185346283017,46342.912000000004,15500,24039.64021375728,22680.844254065203,26570,5940,51.0,249.0,64,NC,116663,87156,36518.364,13596.336,19958.724,12376.152,35862.0,1468.0,0.0,8559.0,0.0,0.0,0.0,0.0,1158.0,0.0,1018.0,0.0,150.0,57923,37155.0,16728,29647,14,76,61
1588,37157,91051,33051.513,14471.51147679371,4112.00965459438,26951.096,10995,11840.86198037073,12355.93607243819,14390,4030,34.0,114.0,43,NC,91957,73468,27770.904,8669.224,18587.404000000002,12783.432,22923.0,5300.0,0.0,6818.0,0.0,0.0,0.0,0.0,446.0,0.0,572.0,0.0,1603.0,49286,37157.0,15676,33447,10,64,54
1589,37159,140978,52866.75,22707.7976225738,5521.2364576871205,36090.368,18876,18594.93288912194,18542.94727699798,19840,5663,58.0,317.0,98,NC,149645,117165,39718.935,13239.645,27533.775,20972.535,35235.0,1974.0,60.0,16805.0,0.0,0.0,0.0,0.0,446.0,0.0,1820.0,0.0,0.0,68878,37159.0,23788,50807,27,86,89
1590,37161,66741,19021.185,10488.261416733449,3385.9795613648853,16351.545,7815,9164.46083570124,9393.279685228652,10400,3187,28.0,97.0,30,NC,64963,52036,19097.212000000003,5723.96,14361.936000000002,9314.444,33872.0,876.0,0.0,5031.0,0.0,0.0,0.0,0.0,490.0,0.0,472.0,0.0,0.0,30019,37161.0,8914,25456,7,34,46
1591,37163,63284,22339.251999999997,9035.04653684048,2530.753312555988,19364.904000000002,7358,9443.44688940016,9118.73185936232,10090,3382,29.0,22.0,48,NC,59120,44784,17241.84,5956.272000000001,10389.887999999999,7344.576,28446.0,2666.0,0.0,3079.0,0.0,22.0,0.0,0.0,223.0,0.0,356.0,0.0,0.0,34697,37163.0,9797,18178,13,35,29
1592,37165,34921,13793.795,4952.33040706017,2569.468709095786,9114.381000000001,4250,5703.51203122463,5406.331213604841,8250,2251,22.0,62.0,98,NC,34162,26314,10815.054000000002,3894.472,6157.476,4104.9839999999995,4364.0,2500.0,0.0,3221.0,0.0,0.0,0.0,0.0,357.0,0.0,188.0,0.0,0.0,17631,37165.0,6754,7767,5,24,14
1593,37167,62050,17622.2,10509.378388996502,2211.47346231035,15078.15,8017,7422.539791622501,7808.461378681501,8210,2634,23.0,136.0,51,NC,64153,50302,17253.586,5181.106000000001,12525.197999999999,9255.568,23895.0,0.0,0.0,8073.0,0.0,0.0,0.0,0.0,490.0,0.0,656.0,0.0,0.0,29221,37167.0,8881,27518,12,46,57
1594,37169,45688,14985.663999999999,7517.587811161839,1663.403149527088,12472.824000000002,5207,5390.5977439197595,5714.065336303279,5570,1918,10.0,21.0,36,NC,45175,36874,12205.294000000002,3650.5260000000003,9476.618,7301.052000000001,17913.0,540.0,8.0,3660.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.0,0.0,23055,37169.0,5380,21548,12,22,29
1595,37171,71904,21930.72,10876.654947312,2548.004113652928,23296.896,8832,9565.74446884896,10083.06037604544,8970,3026,39.0,80.0,37,NC,71403,56506,19946.618,6272.166,15256.62,10227.586000000001,28112.0,2120.0,0.0,3986.0,0.0,0.0,0.0,0.0,1960.0,0.0,714.0,0.0,0.0,39391,37171.0,8613,28565,10,49,67
